pl_name,pl_orbsmax,pl_orbeccen,st_dist,pl_eqt,pl_masse,pl_rade,st_metfe
11 Com b,1.29,0.231,93.37,,,,-0.35
11 UMi b,1.53,0.08,125.72,,,,-0.02
14 And b,0.83,0,75.59,,,,-0.24
14 Her b,2.93,0.37,17.94,,,,0.41
16 Cyg B b,1.66,0.68,21.15,,,,0.06
18 Del b,2.6,0.08,76.38,,,,-0.052
1RXS J160929.1-210524 b,330,,145,1700,3000,,
24 Boo b,0.19,0.042,96.25,,,,-0.77
24 Sex b,1.333,0.09,72.21,,,,-0.03
24 Sex c,2.08,0.29,72.21,,,,-0.03
2MASS J01225093-2439505 b,52,,36,,7786.5,,
2MASS J02192210-3925225 b,156,,39.4,,4417.837,16.141,
2MASS J04414489+2301513 b,15,,140,,2383.6,,
2MASS J12073346-3932539 b,46,,64.42,1150,1271,,
2MASS J19383260+4603591 b,0.92,,400.77,,603.877,,
2MASS J21402931+1625183 A b,,0.26,25,2075,6657.48,10.31,
2MASS J22362452+4751425 b,230,,74,,3972.875,,
30 Ari B b,0.99,0.29,44.71,,,,0.19
4 UMa b,0.87,0.432,73.58,,,,-0.25
42 Dra b,1.19,0.38,90.86,,,,-0.46
47 UMa b,2.1,0.032,13.8,,,,0
47 UMa c,3.6,0.098,13.8,,,,0
47 UMa d,11.6,0.16,13.8,,,,0
51 Eri b,12,0.45,29.4,,,,-0.027
51 Peg b,0.0527,0.013,15.47,,,,0.2
55 Cnc b,0.115227,0.0034,12.59,,263.9785,,0.31
55 Cnc c,0.241376,0.02,12.59,,54.4738,,0.31
55 Cnc d,5.503,0.019,12.59,,1232.493,,0.31
55 Cnc e,0.01544,,12.59,,8.08,1.91,0.31
55 Cnc f,0.788,0.305,12.59,,44.812,,0.31
6 Lyn b,2.11,0.073,54.74,,,,
61 Vir b,0.050201,0.12,8.51,,,,-0.01
61 Vir c,0.2175,0.14,8.51,,,,-0.01
61 Vir d,0.476,0.35,8.51,,,,-0.01
7 CMa b,1.758,0.06,19.82,,,,0.21
7 CMa c,2.153,0.08,19.82,,,,0.21
70 Vir b,0.481,0.3988,17.91,,,,
75 Cet b,2.1,0.117,83.15,,,,0
8 UMi b,0.49,0.06,163.32,,,,-0.03
81 Cet b,2.5,0.206,101.53,,,,-0.06
91 Aqr b,0.7,0.027,44.08,,,,-0.03
AB Pic b,260,,50.12,,4290.5,,
BD+03 2562 b,1.3,0.2,2618,,,,-0.71
BD+14 4559 b,0.78,0.29,49.42,,,,0.17
BD+15 2375 b,0.576,0.001,774,,,,-0.22
BD+15 2940 b,0.539,0.26,431.61,,,,0.28
BD+20 2457 b,1.05,0.15,1670.85,,,,-0.79
BD+20 2457 c,2.01,0.18,1670.85,,,,-0.79
BD+20 274 b,1.3,0.21,1383.85,,,,-0.46
BD+20 594 b,,0,180.39,,22.2481,2.578,-0.15
BD+48 738 b,1,0.2,892.17,,,,-0.2
BD+48 740 b,1.7,0.76,678.94,,,,-0.13
BD+49 828 b,4.2,0.35,447.59,,,,-0.19
BD-06 1339 b,0.0428,0,20.28,,,,-0.14
BD-06 1339 c,0.435,0.31,20.28,,,,-0.14
BD-08 2823 b,0.06,0.15,41.38,,,,-0.06
BD-08 2823 c,0.68,0.19,41.38,,,,-0.06
BD-10 3166 b,0.04,0.02,84.61,,,,0.38
BD-11 4672 b,2.28,0.05,27.3,,,,-0.48
BD-13 2130 b,1.66,0.21,948.75,,,,-0.08
BD-17 63 b,1.34,0.54,34.49,,,,-0.03
CFBDSIR J145829+101343 b,2.6,,23.1,370,3337.1,,
CHXR 73 b,210,,191.05,,3994.486,,
CI Tau b,,0.25,158,,3686.828,,
CT Cha b,440,,165,2600,5403,24.66,
CoRoT-1 b,,0,805.31,1898,327.35,16.7,-0.3
CoRoT-10 b,0.1055,0.53,345,600,874,10.87,0.26
CoRoT-11 b,0.0436,0,560,1657,740.51,16.03,-0.03
CoRoT-12 b,0.04016,0.07,1150,1442,291.438,16.14,0.16
CoRoT-13 b,0.051,0,1060,1700,415.704,9.92,0.01
CoRoT-14 b,0.027,0,1340,1952,2415.4,12.22,0.05
CoRoT-16 b,0.0618,0.33,840,,170.032,13.11,0.19
CoRoT-17 b,0.0461,0,920,1626,772.29,11.43,0
CoRoT-18 b,0.0295,0.08,870,1550,1102.82,14.68,-0.1
CoRoT-19 b,0.0518,0.047,770,2000,352.78,14.46,-0.02
CoRoT-2 b,0.02798,0.0143,200,,1102.82,16.432,
CoRoT-20 b,0.09,0.59,864.31,,1366.669,,
CoRoT-20 c,2.9,0.6,864.31,,,,
CoRoT-21 b,0.0417,0,1398.83,,718.2958,14.572,0
CoRoT-22 b,0.092,0.077,592,885,12.2,4.88,0.17
CoRoT-23 b,0.048,0.16,600,1660,889.9,11.77,0.05
CoRoT-24 b,0.056,0,600,1070,5.7,3.7,0.3
CoRoT-24 c,0.098,0,600,850,28,5,0.3
CoRoT-25 b,0.0578,0,1000,1330,85.81,12.11,-0.01
CoRoT-26 b,0.0526,0,1670,1600,165.26,14.12,0.01
CoRoT-27 b,0.0476,0.065,1035.15,1500,3302.11,11.287,-0.1
CoRoT-28 b,0.0603,0.047,560,,153.82972,10.705,0.15
CoRoT-29 b,0.0386,0.082,765,,270.1555,10.088,0.2
CoRoT-3 b,,0,680,,6883.91,11.32,
CoRoT-30 b,0.0844,0.007,960,,921.707,11.31,0.02
CoRoT-31 b,0.0586,0.02,2190,,266.9772,16.365,0
CoRoT-4 b,0.09,0,741.6,1074,228.83,13.34,
CoRoT-5 b,0.04947,0.09,904.65,1438,148.42,15.558,-0.25
CoRoT-6 b,0.0855,0.1,657.24,1017,940.74,13.068,-0.2
CoRoT-7 b,,0,160.64,,3.1783,1.681,0.05
CoRoT-7 c,0.046,0,160.64,,8.4,,0.05
CoRoT-8 b,0.063,0,380,,69.92,6.39,0.3
CoRoT-9 b,0.4021,0.133,417.89,420,266.9772,11.949,-0.01
CoRoTID 223977153 b,0.071,,586.2,938,47.6745,6.389,0
DE CVn b,5.75,0,30.55,,,,
DENIS-P J082303.1-491201 b,0.36,0.345,20.77,,9057.77,,
DH Tau b,330,,140,,3496,,
DMPP-1 b,0.1462,0.083,62,877,,,
DMPP-1 c,0.0733,0.057,62,1239,,,
DMPP-1 d,0.0422,0.07,62,1632,,,
DMPP-1 e,0.0651,0.07,62,1314,,,
DMPP-2 b,0.0664,0.078,134,1000,,,
DMPP-3 A b,0.0662,0.14,48.9,854,,,0.18
DP Leo b,8.19,0.39,305.06,,,,
DS Tuc A b,,0,44.12,850,,5.7,0
EPIC 201238110 b,,,159.98,,,1.87,
EPIC 201497682 b,,,254.88,,,0.692,
EPIC 201615463 c,,,481,,,1.22,
EPIC 201754305 d,,,338.19,,,1.03,
EPIC 201833600 c,,,259.33,,,1,
EPIC 201841433 b,,,441.94,,,1.1,
EPIC 205950854 c,,,245.56,961,,1.31,
EPIC 206024342 b,,,373.81,,,1.7,
EPIC 206032309 b,,,162.09,,,1.01,
EPIC 206042996 b,,,457.27,,,1.62,
EPIC 206215704 b,,,110.22,,,0.9,
EPIC 206317286 b,,,317.2,,,0.96,
EPIC 211822797 b,0.131,0.06,187.19,,,1.98,
EPIC 211945201 b,0.1493,,182.69,817,,5.76,0.1
EPIC 212297394 b,,,423.35,,,1.323,
EPIC 212424622 b,,,622.67,,,2.17,
EPIC 212499991 b,,,285.61,,,1.6,
EPIC 212587672 b,,,322.88,,,1.12,
EPIC 212737443 b,0.098,0.2,347.45,536,,2.586,-0.137
EPIC 212737443 c,0.28,0.2,347.45,316,,2.69,-0.137
EPIC 220554210 c,,,502.28,,,1.48,
EPIC 220674823 b,0.0134,,246.1,2119,,1.82,0.13
EPIC 220674823 c,0.1091,,246.1,741,,2.73,0.13
EPIC 246851721 b,0.07229,,336.7,1401,953.49,11.781,0.141
EPIC 248847494 b,4.5,0,560,183,4131.79,12.442,-0.23
EPIC 249893012 b,0.047,0.06,324.22,1616,8.75,1.95,0.2
EPIC 249893012 c,0.13,0.07,324.22,990,14.67,3.67,0.2
EPIC 249893012 d,0.22,0.15,324.22,752,10.18,3.94,0.2
FU Tau b,800,,140,2375,5085.28,,
Fomalhaut b,160,0.87,7.7,,,,
G 9-40 b,0.0385,0,27.93,456,,2.025,0.04
GJ 1061 b,0.021,0.31,3.67,,,,-0.08
GJ 1061 c,0.035,0.29,3.67,,,,-0.08
GJ 1061 d,0.054,0.53,3.67,,,,-0.08
GJ 1132 b,0.0153,0.22,12.62,529,1.66,,
GJ 1132 c,0.0476,0.27,12.62,300,,,
GJ 1148 b,0.166,0.38,11.02,,,,
GJ 1148 c,0.912,0.342,11.02,,,,
GJ 1214 b,0.01411,,14.65,,6.26125,2.847,0.39
GJ 1252 b,0.00916,0,20.38,1089,2.09,1.193,0.1
GJ 1265 b,0.026,0.04,10.26,,,,-0.04
GJ 143 b,0.1915,0.188,16.33,422,22.7,2.61,0.003
GJ 15 A b,0.072,0.094,3.56,,,,-0.34
GJ 15 A c,5.4,0.27,3.56,,,,-0.34
GJ 160.2 b,0.053,0.06,25.88,,,,
GJ 163 b,0.0607,0.073,15.14,,,,0.1
GJ 163 c,0.1254,0.099,15.14,,,,0.1
GJ 163 d,1.0304,0.373,15.14,,,,0.1
GJ 179 b,2.41,0.21,12.36,,,,0.3
GJ 180 b,0.092,0.07,11.94,,,,
GJ 180 c,0.129,0.09,11.94,,,,
GJ 180 d,0.309,0.14,11.94,,,,
GJ 229 A c,0.339,0.19,5.76,,,,
GJ 229 b,0.898,0.1,5.76,,,,
GJ 27.1 b,0.101,0.08,23.62,,,,
GJ 273 b,0.091101,0.1,3.8,,,,0.09
GJ 273 c,0.036467,0.17,3.8,,,,0.09
GJ 3021 b,0.49,0.511,17.56,350,,,0.1
GJ 3082 b,0.079,0.22,16.63,,,,
GJ 3138 b,0.0197,0.19,28.49,,,,-0.3
GJ 3138 c,0.057,0.11,28.49,,,,-0.3
GJ 3138 d,0.698,0.32,28.49,,,,-0.3
GJ 317 b,1.15,0.11,15.1,,794.5,,0.36
GJ 317 c,,0.308,15.1,,,,0.36
GJ 328 b,4.5,0.37,20.54,,,,0
GJ 3293 b,0.14339,0.06,20.2,,,,0.02
GJ 3293 c,0.36175,0.11,20.2,,,,0.02
GJ 3293 d,0.19394,0.12,20.2,,,,0.02
GJ 3293 e,0.08208,0.21,20.2,,,,0.02
GJ 3323 b,0.03282,0.23,5.32,,,,-0.27
GJ 3323 c,0.1264,0.17,5.32,,,,-0.27
GJ 3341 b,0.089,0.31,23.16,,,,-0.09
GJ 3470 b,0.0355,,29.45,594,13.9,4.57,0.2
GJ 3512 b,0.338,0.4356,9.49,,,,-0.07
GJ 357 b,0.035,,9.44,525,1.84,1.217,-0.12
GJ 357 c,0.061,,9.44,401,,,-0.12
GJ 357 d,0.204,,9.44,220,,,-0.12
GJ 3634 b,0.0287,0.08,19.8,,8.4,,
GJ 3779 b,0.026,0.07,13.75,,,,0
GJ 3942 b,0.0608,0.121,16.94,590,,,-0.04
GJ 3998 b,0.029,0,18.16,,,,-0.16
GJ 3998 c,0.089,0.049,18.16,,,,-0.16
GJ 411 b,0.0785,0.22,2.55,350,,,-0.38
GJ 422 b,0.111,0.11,12.67,,,,
GJ 4276 b,0.082,0.37,21.35,,,,0.12
GJ 433 b,0.062,0.04,9.07,,,,
GJ 433 c,4.819,0.12,9.07,,,,
GJ 433 d,0.178,0.07,9.07,,,,
GJ 436 b,0.0291,0.13827,9.76,,22.1,4.17,
GJ 504 b,43.5,,17.54,510,1271.3,,0.28
GJ 536 b,0.06661,0.08,10.41,,,,-0.08
GJ 581 b,0.04061,0,6.3,,,,-0.25
GJ 581 c,0.0721,0,6.3,,,,-0.25
GJ 581 e,0.02815,0,6.3,,,,-0.25
GJ 625 b,0.078361,0.13,6.49,,,,-0.38
GJ 649 b,1.135,0.3,10.38,,,,0.08
GJ 667 C b,0.0505,0.13,6.8,,,,-0.55
GJ 667 C c,0.125,0.02,6.8,,,,-0.55
GJ 667 C e,0.213,0.02,6.8,,,,-0.55
GJ 667 C f,0.156,0.03,6.8,,,,-0.55
GJ 667 C g,0.549,0.08,6.8,,,,-0.55
GJ 674 b,0.039,0.2,4.55,,,,-0.28
GJ 676 A b,1.82,0.33,16.03,,,,0.08
GJ 676 A c,6.6,,16.03,,,,0.08
GJ 676 A d,,0.262,16.03,,,,0.08
GJ 676 A e,,0.125,16.03,,,,0.08
GJ 682 b,0.08,0.08,5.01,,,,
GJ 682 c,0.176,0.1,5.01,,,,
GJ 685 b,0.1344,0,14.32,,,,-0.15
GJ 687 b,0.17,0.04,4.55,,,,0.15
GJ 832 b,3.56,0.08,4.97,,,,-0.3
GJ 832 c,0.163,0.18,4.97,,,,-0.3
GJ 849 b,2.35,0.04,8.8,,,,0.24
GJ 86 b,0.11,0.04,10.79,,,,-0.22
GJ 876 b,0.208317,0.0324,4.68,,723.2235,,
GJ 876 c,0.12959,0.25591,4.68,,226.9846,,
GJ 876 d,0.020807,0.207,4.68,,6.83,,
GJ 876 e,0.3343,0.055,4.68,,14.6,,
GJ 96 b,0.291,0.44,11.94,,,,0.14
GJ 9827 b,0.0188,0,29.69,,4.91,1.577,-0.26
GJ 9827 c,0.03925,0,29.69,,0.84,1.241,-0.26
GJ 9827 d,0.05591,0,29.69,,4.04,2.022,-0.26
GQ Lup b,100,,151.82,2650,6356,33.6,
GSC 06214-00210 b,320,,145,2300,5000,,
GU Psc b,2000,,48,1050,3591.3,14.179,0.1
Gl 378 b,0.039435,0.109,14.96,830,,,0.06
Gl 49 b,0.0905,0.363,9.86,,,,0.13
Gl 686 b,0.0917,0.077,8.16,,,,-0.3
HAT-P-1 b,0.05561,,159.71,1322,166.86075,14.785,0.13
HAT-P-11 b,0.05254,0.218,37.81,,,4.36,0.31
HAT-P-11 c,4.13,0.601,37.81,,,,0.31
HAT-P-12 b,0.0384,0,142.5,963,67.059,10.749,-0.29
HAT-P-13 b,,0.0133,214,,270.462,14.258,0.41
HAT-P-13 c,,0.6616,214,,,,0.41
HAT-P-14 b,,0.11,224.1,,1093.3352,15.917,0.11
HAT-P-15 b,,0.19,193.56,,616.5902,11.882,0.22
HAT-P-16 b,0.0413,0.036,235,1626,1332.605,14.448,0.17
HAT-P-17 b,,0.35,92.63,,184.3414,11.769,0
HAT-P-17 c,5.6,0.39,92.63,,,,0
HAT-P-18 b,0.0559,0.084,166,852,62.61,11.153,0.1
HAT-P-19 b,0.0466,0.067,215,1010,92.802,12.689,0.23
HAT-P-2 b,0.06814,0.5172,128.25,,,,0.18
HAT-P-20 b,0.0361,0.015,70,970,2302.899,9.718,0.35
HAT-P-21 b,,0.23,279.48,,1547.8321,12.442,0.01
HAT-P-22 b,,0.02,81.96,,785.0401,12.89,0.24
HAT-P-23 b,,0.11,368.61,,425.8922,12.218,0.15
HAT-P-24 b,,0.07,420.26,,238.3725,14.572,-0.16
HAT-P-25 b,0.0466,0.023,302.95,1182,180.84527,12.722,0.294
HAT-P-26 b,,0.12,142.41,,22.2481,7.062,-0.04
HAT-P-27 b,0.04,0,204,,197.05,11.43,0.29
HAT-P-28 b,0.0434,0.051,395,1384,198.953,13.585,0.12
HAT-P-29 b,,0.09,316.36,,279.6904,13.115,0.21
HAT-P-3 b,,0,135.08,,206.5895,10.536,0.27
HAT-P-30 b,,0.04,215.29,,263.7989,16.141,0.13
HAT-P-31 b,,0.25,347.48,,721.4741,12.218,0.15
HAT-P-32 b,0.03397,0.159,291.51,1836,216.1244,22.194,-0.16
HAT-P-33 b,,0,400.55,,292.4036,20.737,0.05
HAT-P-34 b,0.06774,0.432,251.08,,1058.3739,13.417,0.22
HAT-P-35 b,0.04978,0.02,514.2,,335.62848,14.93,0.11
